2	282031301962395648	T14111200	positive	dec 21st 2012 will be know not as the end of the world but the Baby Boom! #2012shit
3	11975	SM112166	neutral	Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
4	136592	LJ112295	neutral	Yeah we have Thin Lizzy here I HATE the informercials !
5	253421252956545024	T13114433	neutral	MT @LccSy #Syria, Deir Ezzor: Ali Bashar al-theeb was martyred. He was a soldier of the Free Syrian Army.  Wednesday, 3 October 2012.
6	220880422320603137	T14114138	negative	@MacMiller hate my life, because i can't see you at the roskilde festival on saturday, promise me to come back again, SOON.
7	10772	SM111667	neutral	ard $1000\u002c 2 times a wk. they already confirm
8	261429133987438593	T13118624	positive	excited for fri,not so i can get smashed but so i can go to the garden centre,look at the xmas display and have a coffee #wtf #grannyalert
9	260153933853519872	T13114269	negative	Just got the ICS update from Sony on my Sola (apparently it was released on the 17th, but update centre never told me, so I only knew...
10	224000915634520064	T14112002	positive	Checked out Our Lady Peace at Bluesfest tonight and spending the day at the beach for HOPE volleyball tomorrow. Gotta love summer weekends!
11	10979	SM114027	positive	Hmm... Mon afternoon i got to go sch for a briefing... U wanna come back on tue or u wanna stay there even longer? Or come back tmr oso can.
14	12149	SM115515	neutral	We eating at science\u002c u want to eat?
15	262131102137860096	T13112746	neutral	Sign of the times for once powerful Cosatu? @TimesLIVE Black shirts see red at Cosatu march http://t.co/VNiXvhdf
16	255713054224949249	T14114382	neutral	Hello from the Foundation Trekkers! We're up in chilly Haltwhistle getting ready to trek Hadrian's wall tomorrow :-) http://t.co/MmRnhLAL
17	267404127213060096	T14114875	neutral	Tomorrow we will be proud to play at the Remembrance Service at South Hetton church
18	266350263764393985	T14114623	neutral	Impulsively bought Resident Evil: Operation Raccoon City. Probably won't play it till tomorrow though. Have so much editing to do with 06.
19	54481	LJ112509	negative	it sounds really bad but it just couldnt have been worse timing .
20	245250307448246272	T13113583	positive	Got my @johnstownhawks tickets in the mail today!! So excited to see Mario Lemieux drop the 1st puck! #Hockeyisback http://t.co/fTk0AhbS
21	229523369538768896	T14113020	neutral	Just arriving in madrid from Moscow Tomorrow going to HVar, Croatia
22	249375357956927488	T13119091	neutral	Sophos is the Lamest Virus Ever...: Starting September 19, Sophos successfully became the lamest... http://t.co/14HqjMMq |InfoSecIsland
23	11968	SM113027	positive	Ok i also wan 2 watch e 9 pm show...
25	232086435581276162	T13115034	neutral	"@CherylCole's on MTV Hits in 30 minutes taking us behind the scenes of her ""Under The Sun"" video"
28	241233461560635392	T13111814	neutral	Jose Iglesias /  Igleisas started at shortstop Wednesday night for the second http://t.co/Gkpx9Blu #MLB #BOS
29	233453521050161152	T13112386	neutral	Wasn't there an International Women's day on the 8th of March too?
30	259978181312921600	T13114005	neutral	Game 3 of San Beda vs Letran will be on Thursday at the Smart Araneta Coliseum.
32	209669128292810752	T13113381	neutral	We're partnering with our friends at Ten Thousand Villages in Green Hills on Sunday, June 17th. Stop by anytime... http://t.co/JpK2EODR
34	250017113773858818	T13112623	neutral	"See you at the Houston Improv, this Tuesday, 9/25, National Voter Registration Day for a FREE SHOW - ""Vote for... http://t.co/myrQvRsK"
35	205051127593574400	T13116258	positive	Good luck to @ChewB30 tomorrow at the MAC Championship!! Do your thing buddy!! #GoBobcats #MACBaseball
36	10478	SM112964	neutral	Where are you? still on bed blur-blur.
37	10578	SM112810	positive	U r just like my friends? I made them feel warm\u002c happy\u002c then make them angry & they cry? Finally they left me? Will u leave 2? I hope not. Really hope so.
38	368315	LJ112763	neutral	The stories feature the same main character , but do not depend on each other otherwise .
39	258428070241906688	T13113215	neutral	Whoa. Is Taylor Kitsch seriously going to be at the charity game tomorrow?
40	11839	SM111359	positive	Haha... Hope Ã¼ can hear the receipt sound... Gd luck!
41	264185414154350592	T13113570	neutral	Due to the hurricane, game 1 of the the Eastern conf semi-final has been moved to RFK on Nov 3. The 2nd leg will be in NY on Nov 7. #DCU
42	256667211803009024	T14113880	neutral	Just packing for a weekend in Liverpool and the small matter of a marathon on Sunday. First up though...Blackpool Illuminations!
43	223365454452891649	T14113863	positive	Your plans of attending the Great Yorkshire Show may have been washed out because of the weather, so how about... http://t.co/fEsAtbk8
44	11581	SM112650	neutral	Hey... How come u rent out ur hse again ah...
46	263445282879062016	T13112829	neutral	#Rent in US up 10% betw Jan'11 &amp; Jun'12, up .1% in Calif says @ApartmentList. Sound right to you? http://t.co/fbRrhDQx
47	212138200385331201	T14113874	neutral	By the end of today I will have worked 14hrs, done my workout and attended part of Hot Jam. Hitting the ground running this Monday.
48	278353426096738306	T14115078	positive	Check out this weeks the @SixersBBL Scoop column looking back on Sat Nights win over the Thunder! http://t.co/lRto77al #smashemsixers #BBL02
49	10734	SM113737	neutral	just chked my emails onli... haha...
50	263358562531676161	T13112517	positive	Mark Cuban: Apple TV Is a Pipe Dream And why the HDNet founder thinks that may be a good thing... http://t.co/MbASAnnw http://t.co/ES6H34Zx
51	244043385944539136	T14112740	neutral	Three day weekend a head. Tonight Grand Bend forracing, Saturday Grand Bend with the inlaws more racing. Sunday first #Sting game for us.
52	248007329658834944	T14115332	neutral	Have you been inspired by Ironman Wales? Why not give triathlon a go by taking part in the Fishguard Go Tri on Sunday. http://t.co/lDfNW2fG
54	111010	LJ112242	neutral	I am getting a DS for Christmas .
55	278528076445523968	T14115541	neutral	I've found lyrics of Kiryu - Kaika!!! YES!!! but I've sat down to listen a song and write it already...))
56	11000	SM113453	neutral	Heh? Then ur mum not working ah? Or ur dad will be at hm? Sob... I very bored... Else i go ur hse?
57	239496123524468736	T14113931	neutral	Jonathan Kozol is the leading author on educational advocacy and social equality. He will be on campus Wednesday,... http://t.co/nteU8d3w
58	221521873408765955	T14113516	neutral	@nurinqistinaa @hannahban4na That's the 1st.2nd: Nadia &amp; Mysa about Mysa break dgn Adam. 3rd: this bullshit thingy -.-
59	261026742016303104	T13112219	positive	Bersani, supports stability agreement to secure government: (AGI) Rome, October 24 - Tomorrow the agreement on t... http://t.co/ew0JWQgD
60	240117467488325632	T14112353	positive	Thanks to all those who joined UYSA and the University of Utah in celebrating Youth Soccer Month last Saturday,... http://t.co/39jQBGV8
61	231118920671703042	T13116042	positive	Nikki Beach Miami is excited to welcome back our good friend Patrick M this Sunday along with Nikki Beach's... http://t.co/EUyVFzMz
62	10924	SM114458	neutral	no..sunday is family day for me...haveta spend time wif parents...
64	285609537480826881	T14114259	neutral	@pkollar Well it was either that or watch you play Raccoon City, so.. I think I may have won?
65	12084	SM113719	positive	Ok no prob... I\u2019ll come after lunch then...
66	259369879591854081	T13113852	neutral	THIS SUNDAY: Join us at Ten Thousand Villages to get holiday gifts. 15% of the proceeds donated to HIAS Pennsylvania! http://t.co/PPjydgjx
67	12223	SM113119	positive	Happy 22nd birthday... May all ur wishes come true\u002c stay pretty all time\u002c successes in ur career\u002c romances fall on u... Stay happy n enjoy ur birthday...
69	254181273352929280	T13112008	neutral	@NatLe7 gonna stay over in Leeds for Wednesday tho to get my fix of the eternal city
70	10851	SM114852	neutral	U can still call my hp\u002c on autoroam. My Aust Add - Unilodge Sydney Cnr Bay St & Broadway\u002c Broadway NSW 200700 Tel 61 2 93385000
71	141436	LJ111667	neutral	Every freaking time I take a break and come back to skating I push too hard and my tailbone ends up out of place .
72	245540130482434048	T13112431	neutral	Do you know what is happening tomorrow at Yerba Buena Center in San Fransisco? #iPhone5 #iPhone5 #iPhone5 #iPhone5 #iPhone5 #iPhone5
73	257626522964332545	T13114601	neutral	Do you have your HST made for the Diamond Chevrons QAL?  Tomorrow the assembly directions go up!! http://t.co/074Wacjp
74	261173008381648896	T13112789	neutral	Watch the The Morning Blend tomorrow as Ian Bennett will be strutting his stuff in their fashion show. Tune into TJM4 at 9 am.
77	254388019765850112	T14113030	positive	"Day 1 at the SoCal College Fair @ Pomona Fairplex--1st person to get to our booth &amp; say ""your story matters"" wins something special! #doit"
78	216872516134772737	T13113805	neutral	Ik heb een @YouTube-video als 'leuk' gemarkeerd http://t.co/Utwrijit Apple Special Event March 7 2012 iPad 3 the new ipad Ful
79	262272451340275712	T13117388	neutral	#teamfollowback La Liga: Betis march on, Malaga held to draw: Real Betis moved up to fourth in the table after S... http://t.co/Sy1yVPvt
80	257853772624195584	T14112628	neutral	De La Soul's First Serve project with Live Band debuts this Thu 18th in Meeting House Square, ONRA supports on MPC  http://t.co/DN2SfycQ!!!
81	264200219976138753	T13114010	neutral	But me &amp; Derrick going to the Fair tomorrow
82	278964993221861377	T14113920	neutral	@keccles653 I just googled it haha Catelynn and Tyler met first and butch and April have been married but they got divorced
83	11162	SM114844	negative	i call them and they told me they are only sending my mom\u2019s one as me and my bro are not taxable. Supose to rcv this month but havent got it yet..
